date | value

abc

 2012-01-01 | 1
2010-1-01 | 1
2010-01-1 | 1
2010-01-01| 1
2010-01-01 |1
2010-01-01  | 1
2010-10-13 |  1
2010-01-01 | 1 
2010-01-011 | 1
2012-01-11 | 2147483648
2012-01-11 | 2h8
2012-01-11 | 0
2012-01-11 | -1
2012-01-11 |
2012-01-11


2000-01-01 | 1
2225-01-01 | 1
2012-13-01 | 1
2012-01-32 | 1

2022-02-29 | 1
2021-02-29 | 1
2020-02-30 | 1
2019-02-29 | 1
2018-02-29 | 1
2017-02-29 | 1
2016-02-30 | 1
2015-02-29 | 1
2014-02-29 | 1
2013-02-29 | 1
2012-02-30 | 1
2011-02-29 | 1
2010-02-29 | 1
2009-02-29 | 1

2010-01-32 | 1
2010-03-32 | 1
2010-04-31 | 1
2010-05-32 | 1
2010-06-31 | 1
2010-07-32 | 1
2010-08-32 | 1
2010-09-31 | 1
2010-10-32 | 1
2010-11-31 | 1
2010-12-32 | 1

2010-01-00 | 1
2010-02-00 | 1
2010-03-00 | 1
2010-04-00 | 1
2010-05-00 | 1
2010-06-00 | 1
2010-07-00 | 1
2010-08-00 | 1
2010-09-00 | 1
2010-10-00 | 1
2010-11-00 | 1
2010-12-00 | 1
partieOK
2020-02-29 | 1
2016-02-29 | 1
2012-02-29 | 1
2011-01-03 | 3
2015-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | 1
2012-01-25 | 48
2011-01-02 | 10
